"entry,def"
"IC電気雷管,ＩＣ電気雷管（電子雷管）は，起爆時間コントロールにＩＣタイマーが用いられているため，電気雷管や導火管付き雷管に比べて，きわめて高い起爆秒時精度を有している．起爆秒時精度は0.2ms～数msであり，数ms単位での秒時設定が可能である．さらに，ＩＣ雷管は任意に起爆秒時を設定することが可能なため，多段発が可能となり，ＳＢ（スムースブラスティング）工法や発破振動・騒音の低減等の高精度な制御発破を実現できる．"
"アイソレーションシート,山岳トンネルにおける吹付けコンクリートと覆工（コンクリート）との間（接触面）に，ひび割れ防止対策として縁切りのために用いられるシート．"
"アイランド工法,山留め工法の１つであり，大きな建物の基礎等の掘削で水平切ばりが採用できないほどの大面積の場合，経済性と安全性のうえからこの工法が採用される．図に示すように，水平切ばり方式と斜め切ばり方式の２つがあるが，いずれにしても，掘削底面の中央に島のように基礎部を最初に構築し，それを足がかりとして周辺の施工へと拡大していく工法である．アイランド工法の長所は，①敷地ぎりぎりまで構造物を構築できる，②支保工が少なくてすむ，③広い面積の掘削でも切ばりの緩み縮みが少ない，④構造物が不整形でもよい，等があり，逆に短所としては，①軟弱地盤ではのりが長くなるので深い掘削には適さない，②掘削，地下工事を２度に分けて行うため工期が長くなり，作業性も悪く複雑となる，等がある．"
"上げ越し,トンネル支保工等の沈下を見込んで支保工の設置高さを，あらかじめ設計位置より上げておくことをいう．上げ越しの量は地質，掘削工法，支保工の構造・材質，掘削後覆工までの経過時間等に左右されるので，現場条件に適合した最小の上げしろを見込まなければならない．また想定した以上の沈下を防ぐために，支保工脚部に皿板を用いたり，ウイングリブ型鋼製支保工を用いるなどして，十分な支持力を確保するようにしなければならない．なお，上げ越しは支保工だけでなく，覆工打設の際のコンクリート重量による沈下に備えて覆工型枠にも見込まなければならない．"
"アジテーター,一般には強制撹拌する装置をいう．泥水式シールドでは，カッターチャンバー内における掘削土と泥水の攪拌混合，および排泥吸込口の閉塞防止を目的として設ける．ただし，カッターヘッド背面の攪拌翼で代用する場合もある．"
"アジテーターカー,生コンクリートを攪拌しながら運搬できるように工夫されたコンクリート運搬車のことをいう．"
"アースアンカー,アースアンカーはテンドンと呼ばれるＰＣ鋼材（ＰＣ鋼より線）をボーリング孔に挿入し，先端部をグラウト材で地盤に固定し，ＰＣ鋼材の緊張力で山留め壁や切土法面を安定させるもの．また構造物の転倒，浮上がり防止にも用いられる．また，アンカー体が将来の地下工事の障害とならないように工事完了後除去可能な工法も数多く施工されている．開削工法においては，掘削断面の空間確保，設計図通りの鉄筋組立が可能等の利点から採用されている．支持方式により，①摩擦型アンカー：地盤とアンカー体の周面摩擦抵抗によりアンカー力を地盤に伝達する方式，②支圧型アンカー：アンカー体の断面に働く受働土圧（支圧）によりアンカー力を地盤に伝達させる方式，③複合型アンカー：摩擦型と支圧型の両方による方式に分類される．"
"アスペクト比,繊維補強コンクリートにおいて，繊維の直径または換算直径に対する長さの比をいう．アスペクト比（L/d L：繊維の長さ，d：繊維の換算直径）に応じた限界混入率を超えると，繊維補強コンクリートにおいてファイバーボールを生じたり，繊維が折れ曲がったりする．トンネルや地下空洞の断面寸法に関する縦横比を示す場合にもアスペクト比が使われることがある．"
"アスベスト,アスベスト（石綿）は耐炎耐熱性を特徴とする繊維状珪酸塩鉱物の総称で，おもに蛇紋岩中に含まれる蛇紋石系鉱物のクリソタイル（白石綿・温石綿），角閃石系のクロシドライト（青石綿），アモサイト（茶石綿），直閃石（アントフィラント），透閃石（トレモライト），緑閃石（アクチノライト）などがある．アスベストは空気中に飛散しやすく，吸気によりに中皮腫や肺がんなどの肺疾患等人体への影響があるため，注意を要する．アスベスト含有の有無はボーリング等で試料採取し，X線回折試験により調べる方法がある．施工時の対策としては，作業員の保護具着用，露頭や運搬車両に対してのシートによる飛散防止などがある．"
"アセットマネジメント,トンネル構造物や橋梁などを社会資本としてとらえ，中長期的な視点から計画的，効率的に維持管理を行う手法のこと．ライフサイクルコスト（LCC）最小化と予防保全的な観点から構造物の健全度評価，劣化予測を行い，維持管理に係わる総予算の削減と年度間の平準化をめざすものである．もともとは金融資産や不動産の運用のために導入された手法であるが，近年，土木構造物への導入が進められている．"
